unified_scenario,scenario_name,protocol_or_config,throughput_mbps_mean,ptp_delay_ms_steady_mean,ptp_data_status,cdr75_percent_table2,cdr75_ratio_table2,ros_control_delay_status,data_source_note
S1,Short LoS,ax/6/160,633.494584138889,11.5285795169492,ok,94,0.94,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ax/5/80,443.848058394444,10.8587662352941,ok,89,0.89,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ac/5/80,484.905555066667,11.8928114537815,ok,90,0.9,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ax/6/80,546.474805844445,9.69053748739496,ok,91,0.91,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ax/2.4/20,110.404523811111,16.3214172521008,ok,84,0.84,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ax/5/20,143.994361783333,16.5335249831933,ok,91,0.91,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ac/5/20,135.818425972222,12.6832819152542,ok,93,0.93,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,ax/6/20,125.012151516667,14.533327512605,ok,87,0.87,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,n/2.4/20,73.10327265,11.3195152689076,ok,90,0.9,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ax/6/160,563.586619794444,13.1393182773109,ok,97,0.97,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ax/5/80,335.372623911111,12.8148053361345,ok,93,0.93,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ac/5/80,322.277283544444,15.4480815210084,ok,90,0.9,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ax/6/80,341.116278444444,11.6194157563025,ok,90,0.9,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ax/2.4/20,38.0390132,12.708659,ok,93,0.93,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ax/5/20,110.942633694444,12.1124414201681,ok,92,0.92,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ac/5/20,92.2676897277778,13.6050901008403,ok,91,0.91,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,ax/6/20,94.0154929611111,14.8653048151261,ok,93,0.93,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,n/2.4/20,34.0935109222222,12.7870507815126,ok,88,0.88,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ax/6/160,84.6611390111111,14.5688735630252,ok,93,0.93,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ax/5/80,23.0922802777778,9.67176115966387,ok,98,0.98,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ac/5/80,35.2465846055556,14.8611423109244,ok,90,0.9,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ax/6/80,67.5389525388889,14.1365793781513,ok,99,0.99,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ax/2.4/20,4.89067159444444,22.5583812941176,ok,87,0.87,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ax/5/20,11.8296427722222,8.71990719327731,ok,98,0.98,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ac/5/20,9.67209297777778,NaN,ptp_missing_case_time_short,0,0,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,ax/6/20,17.9717376555556,10.6338353648649,ok,49,0.49,supplementary_only_due_to_negative_delay_risk,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
