row_id,run_id,config_id,link_type,scene,scene_name,seed,frequency_band,bandwidth_mhz,throughput_original_value,throughput_original_unit,throughput_mbps,app_loss_rate,app_loss_pct,mac_loss_rate,link_outage_status,run_status,warning_status,audit_status,channel_selection_status,custom_channel_used,custom_channel_call_count,requested_link_count,actual_link_count,requested_bands,actual_bands,requested_bandwidths_mhz,actual_bandwidths_hz,actual_channels,channel_fallback_used,app_tx_packets,app_rx_packets,app_packet_loss,mac_tx_packets,mac_rx_packets,mac_packet_loss,simulation_time_s,distance_m,channel_mode,penalty_applied_flag,intermittent_probability_requested,intermittent_event_rate_actual,source_file,source_row_number,source_field,matlab_variable_location,evidence_status,final_result_note
1,SL-5-80_S1_seed1,SL-5-80,SL,S1,Short LoS,1,5G,80,27.488,Mbps,27.488,0.12968591692,12.968591692,0.0115074798619,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,347,1,1,5G,5G,80,80000000,42,no,1974,1718,256,1738,1718,20,0.5,5,adjusted_final_selected_channel,no,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,2,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S1_seed1),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
2,SL-5-80_S1_seed2,SL-5-80,SL,S1,Short LoS,2,5G,80,27.616,Mbps,27.616,0.129162462159,12.9162462159,0.0114547537228,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,351,1,1,5G,5G,80,80000000,42,no,1982,1726,256,1746,1726,20,0.5,5,adjusted_final_selected_channel,no,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,3,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S1_seed2),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
3,SL-5-80_S1_seed3,SL-5-80,SL,S1,Short LoS,3,5G,80,27.488,Mbps,27.488,0.12968591692,12.968591692,0.0115074798619,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,347,1,1,5G,5G,80,80000000,42,no,1974,1718,256,1738,1718,20,0.5,5,adjusted_final_selected_channel,no,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,4,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S1_seed3),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
4,SL-5-80_S2_seed1,SL-5-80,SL,S2,Medium LoS intermittent light obstruction,1,5G,80,15.648,Mbps,15.648,0.207455429498,20.7455429498,0.234070221066,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,350,1,1,5G,5G,80,80000000,42,no,1234,978,256,1538,1178,360,0.5,40,adjusted_final_selected_channel,yes,0.2,0.208571428571,results/wifi7_mlo_adjusted_final_experiment_raw.csv,5,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S2_seed1),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
5,SL-5-80_S2_seed2,SL-5-80,SL,S2,Medium LoS intermittent light obstruction,2,5G,80,18.016,Mbps,18.016,0.173274596182,17.3274596182,0.198511166253,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,373,1,1,5G,5G,80,80000000,42,no,1362,1126,236,1612,1292,320,0.5,40,adjusted_final_selected_channel,yes,0.2,0.184986595174,results/wifi7_mlo_adjusted_final_experiment_raw.csv,6,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S2_seed2),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
6,SL-5-80_S2_seed3,SL-5-80,SL,S2,Medium LoS intermittent light obstruction,3,5G,80,17.568,Mbps,17.568,0.189069423929,18.9069423929,0.18315018315,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,374,1,1,5G,5G,80,80000000,42,no,1354,1098,256,1638,1338,300,0.5,40,adjusted_final_selected_channel,yes,0.2,0.18449197861,results/wifi7_mlo_adjusted_final_experiment_raw.csv,7,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S2_seed3),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
7,SL-5-80_S3_seed1,SL-5-80,SL,S3,Long NLoS,1,5G,80,27.488,Mbps,27.488,0.12968591692,12.968591692,0.0115074798619,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,347,1,1,5G,5G,80,80000000,42,no,1974,1718,256,1738,1718,20,0.5,50,adjusted_final_selected_channel,yes,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,8,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S3_seed1),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
8,SL-5-80_S3_seed2,SL-5-80,SL,S3,Long NLoS,2,5G,80,27.616,Mbps,27.616,0.129162462159,12.9162462159,0.0114547537228,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,351,1,1,5G,5G,80,80000000,42,no,1982,1726,256,1746,1726,20,0.5,50,adjusted_final_selected_channel,yes,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,9,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S3_seed2),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
9,SL-5-80_S3_seed3,SL-5-80,SL,S3,Long NLoS,3,5G,80,27.488,Mbps,27.488,0.12968591692,12.968591692,0.0115074798619,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,347,1,1,5G,5G,80,80000000,42,no,1974,1718,256,1738,1718,20,0.5,50,adjusted_final_selected_channel,yes,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,10,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S3_seed3),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
10,SL-5-80_S4_seed1,SL-5-80,SL,S4,Long mixed,1,5G,80,27.488,Mbps,27.488,0.12968591692,12.968591692,0.0115074798619,no_full_outage,PASS,none,audited_pass_no_warning,PASS,yes,347,1,1,5G,5G,80,80000000,42,no,1974,1718,256,1738,1718,20,0.5,53.8516480713,adjusted_final_selected_channel,yes,0,0,results/wifi7_mlo_adjusted_final_experiment_raw.csv,11,throughput_mbps;app_packet_loss_ratio;run_status;channel_selection_status,rows(run_id=SL-5-80_S4_seed1),formal_raw_run,Formal adjusted final result; three seed runs completed successfully.
