audit_section,audit_item,config_id,scene,seed,observed_value,audit_status,warning_status,issue_classification,notes,source_file,source_row_number,evidence_status
audit_summary,input_raw_rows,,,,96,PASS,none,,Expected 96 raw rows.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,2,formal_audit_summary
audit_summary,input_summary_by_config_scene_rows,,,,32,PASS,none,,Expected 32 config-scene summary rows.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,3,formal_audit_summary
audit_summary,input_summary_by_config_rows,,,,8,PASS,none,,Expected 8 config summary rows.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,4,formal_audit_summary
audit_summary,input_summary_by_scene_rows,,,,4,PASS,none,,Expected 4 scene summary rows.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,5,formal_audit_summary
audit_summary,issue_log_warnings,,,,8,WARNING,expected_warning,,Warnings are expected for the WEAK_PASS case.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,6,formal_audit_summary
audit_summary,issue_log_errors,,,,0,PASS,none,,No issue_log errors were found.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,7,formal_audit_summary
audit_summary,q1_sl6160_s1_s2_normal,,,,true,PASS,none,,SL-6-160 S1/S2 have nonzero throughput and normal system status.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,8,formal_audit_summary
audit_summary,q2_sl6160_s3_s4_all_outage,,,,true,WARNING,expected_warning,,SL-6-160 S3/S4 are all zero-throughput/full-loss.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,9,formal_audit_summary
audit_summary,q3_sl6160_s3_s4_run_status_pass,,,,true,PASS,none,,S3/S4 simulator runs still returned PASS.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,10,formal_audit_summary
audit_summary,q4_channel_selection_pass,,,,true,PASS,none,,SL-6-160 channel_selection_status is PASS for all seeds/scenes.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,11,formal_audit_summary
audit_summary,q5_actual_bandwidth_160mhz,,,,true,PASS,none,,SL-6-160 actual bandwidth remains 160 MHz.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,12,formal_audit_summary
audit_summary,q6_custom_channel_called,,,,true,PASS,none,,custom_channel_used=yes and call_count>0 for all SL-6-160 rows.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,13,formal_audit_summary
audit_summary,q7_only_sl6160_s3_s4_full_outage,,,,true,PASS,none,,Only SL-6-160 shows full S3/S4 outage in the adjusted main configs.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,14,formal_audit_summary
